ISO,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Estimates Start After
SVN,Slovenia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,31.93,20.745,13.656,9.841,8.358,7.91,6.154,8.879,8.422,7.465,5.573,3.584,2.485,2.458,3.611,5.651,0.854,1.834,1.83,2014
SLB,Solomon Islands,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",8.25,13.144,12.998,6.95,10.922,9.409,13.1,11.494,16.812,14.936,8.7,15,10.8,9.2,13.294,9.612,11.773,8.065,12.355,7.953,6.928,7.628,9.366,10.077,6.916,7.529,11.224,7.664,17.323,7.111,0.947,7.436,2013
ZAF,South Africa,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",14.236,15.741,14.4,12.587,11.18,16.201,18.75,16.194,12.892,14.506,14.286,15.566,13.673,9.874,8.824,8.709,7.32,8.623,6.872,5.211,5.374,5.63,9.165,5.874,1.418,3.339,4.663,7.116,11.536,7.13,4.257,5,2014
SSD,South Sudan,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2014
ESP,Spain,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",15.578,14.549,14.416,12.174,11.28,8.815,8.795,5.248,4.837,6.791,6.722,5.934,7.145,4.569,4.718,4.674,3.599,1.877,1.764,2.235,3.484,2.827,3.589,3.102,3.053,3.382,3.563,2.844,4.13,-0.238,2.043,3.052,2014
LKA,Sri Lanka,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",26.145,17.969,10.826,13.964,16.638,1.481,7.976,7.717,13.992,11.568,21.495,12.186,11.383,11.747,8.448,7.675,15.937,9.565,9.371,4.692,6.176,14.158,9.551,8.969,9.011,10.983,10.02,15.842,22.394,3.465,6.218,6.717,2014
KNA,St. Kitts and Nevis,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",19.332,8.559,5.975,2.23,2.727,2.666,-0.029,0.937,0.23,5.133,4.2,4.201,2.837,1.791,1.427,3,2.048,8.675,3.684,3.351,2.11,2.138,2.078,2.268,2.25,3.374,8.487,4.481,5.3,2.058,0.603,7.071,2013
LCA,St. Lucia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",19.367,15.125,4.614,1.473,2.049,0.503,2.174,7.039,0.829,4.395,4.331,5.539,5.661,0.775,2.664,5.863,0.925,-0.006,3.202,2.415,4.848,5.273,-0.256,1.034,1.46,3.911,3.564,2.823,5.55,-0.157,3.25,2.769,2013
VCT,St. Vincent and the Grenadines,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",17.207,12.736,7.228,5.458,2.702,2.079,1.154,2.874,0.443,2.64,7.249,5.919,3.805,4.252,0.442,2.348,4.413,0.493,2.091,1.031,0.195,0.844,0.749,0.125,2.854,3.444,3.015,6.994,10.122,0.373,0.752,3.186,2013
SDN,Sudan,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",26.531,24.019,26.608,30.566,33.659,45.625,59.996,26.512,62.864,65.338,-0.874,123.578,117.624,101.305,115.478,68.375,132.824,46.65,17.105,15.995,8.033,4.871,8.334,7.711,8.418,8.489,7.2,7.999,14.284,11.257,12.99,18.094,2013
SUR,Suriname,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",14.151,8.678,7.119,4.374,3.688,10.852,18.664,53.418,7.34,0.758,21.766,25.967,43.666,143.511,368.479,235.531,-0.794,7.252,19.066,98.724,58.608,34.366,15.516,23.001,9.126,13.981,11.143,6.619,14.927,-0.387,6.817,17.721,2013
SWZ,Swaziland,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",18.2,20.056,10.807,11.568,12.94,20.463,13.737,13.377,20.395,7.546,13.092,8.934,7.558,12.023,13.769,12.289,6.425,7.945,7.51,5.862,7.2,5.942,12.02,7.29,3.445,1.751,5.2,8.076,12.657,7.448,4.509,6.107,2014
SWE,Sweden,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",17.452,12.104,8.589,8.873,8.044,7.373,4.236,4.189,5.825,6.443,10.367,9.445,2.374,4.728,2.158,2.455,0.533,0.658,-0.267,0.462,0.899,2.406,2.158,1.926,0.374,0.453,1.36,2.212,3.437,-0.494,1.158,2.961,2014
CHE,Switzerland,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",4.022,6.486,5.671,2.95,2.937,3.427,0.743,1.435,1.872,3.154,5.404,5.859,4.037,3.293,0.851,1.798,0.81,0.519,0.019,0.808,1.561,0.99,0.64,0.636,0.801,1.174,1.061,0.738,2.433,-0.477,0.685,0.226,2014
SYR,Syria,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",19.332,18.4,14.274,5.987,9.453,16.818,36.187,71.429,30,15.385,11.111,9,11.1,13.2,15.328,7.722,8.872,1.889,-0.953,-3.7,-3.9,3.401,-0.518,5.797,4.433,7.24,10.39,4.677,15.153,2.804,4.398,n/a,2011
TWN,Taiwan Province of China,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",19.018,16.32,2.954,1.367,-0.029,-0.16,0.696,0.514,1.288,4.414,4.128,3.622,4.465,2.942,4.103,3.667,3.074,0.904,1.686,0.173,1.253,-0.007,-0.2,-0.277,1.611,2.308,0.598,1.798,3.526,-0.872,0.963,1.427,2014
TJK,Tajikistan,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"2,600.72",350.358,612.481,418.472,87.956,43.175,27.452,32.851,38.592,12.227,16.356,7.206,7.277,9.969,13.168,20.429,6.419,6.463,12.422,2013
TZA,Tanzania,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",30.205,30.3,25.7,28.9,27.1,36.1,33.3,32.4,47.702,20.602,22.562,28.037,21.935,23.619,37.146,23.969,20.496,15.443,13.161,8.996,4.589,5.147,4.555,4.429,4.138,4.359,7.251,7.028,10.276,12.144,7.192,12.691,2013
THA,Thailand,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",19.7,12.7,5.3,3.7,0.899,2.3,1.874,2.453,3.859,5.406,5.881,5.706,4.138,3.299,5.061,5.818,5.819,5.599,7.996,0.286,1.599,1.616,0.7,1.804,2.768,4.542,4.645,2.234,5.455,-0.85,3.28,3.809,2014
TLS,Timor-Leste,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.589,4.087,8.017,2.21,1.612,5.232,8.639,7.427,-0.209,5.178,13.174,2013
TGO,Togo,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",12.32,19.716,11.13,9.355,-3.527,-1.815,4.125,0.054,-0.151,-0.951,1.13,0.238,1.622,-0.089,35.259,15.797,4.596,5.307,0.979,-0.06,1.866,3.92,3.06,-0.93,0.393,6.783,2.232,0.943,8.71,3.727,1.438,3.558,2013
TON,Tonga,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",-7.348,14.9,10.879,9.733,7.908,5.201,29.867,7.697,10.326,3.968,5.632,13.921,8.597,1.81,3.922,-0.48,2.674,1.994,3.03,3.902,6.119,8.668,10.345,11.242,10.821,8.549,6.105,7.385,7.454,3.526,3.865,4.612,2013
TTO,Trinidad and Tobago,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",17.47,14.332,11.635,15.175,13.335,7.623,7.694,10.752,7.758,11.432,11.064,3.8,6.509,13.111,3.733,5.303,3.327,3.925,5.316,3.439,3.5,5.5,4.2,3.807,3.722,6.886,8.317,7.889,12.048,7.58,10.547,5.104,2013
TUN,Tunisia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",10.011,8.903,13.673,8.972,8.596,7.551,6.159,8.224,7.156,7.722,6.502,7.693,5.518,4.04,5.423,6.232,3.733,3.599,3.102,2.768,2.77,0.511,1.9,2.063,2.538,2.438,3.225,2.967,4.345,3.665,3.339,3.548,2014
TUR,Turkey,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",110.638,36.364,31.111,31.335,48.378,44.506,34.617,38.851,73.668,63.267,60.317,65.967,70.073,66.097,104.54,89.566,80.236,85.653,84.721,64.87,55.035,54.246,45.134,25.337,8.599,8.179,9.597,8.756,10.444,6.251,8.566,6.472,2014
TKM,Turkmenistan,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"3,102.40","1,748.30","1,005.26",992.389,83.722,16.771,23.465,8.04,11.632,8.753,5.587,5.885,10.708,8.157,6.259,14.539,-2.672,4.45,5.277,2013
TUV,Tuvalu,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.531,5.051,2.914,2.369,3.221,4.19,2.285,10.443,-0.283,-1.853,0.501,2013
UGA,Uganda,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",99.203,100,100,150,16.711,100,143.8,215.4,166.7,130.8,45.4,20.819,66.31,23.427,2.59,9.63,8.285,7.999,0.875,5.759,3.382,1.922,-0.3,8.71,3.666,8.602,7.205,6.073,12.041,13.074,3.972,18.677,2014
UKR,Ukraine,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"4,734.91",891.187,376.745,80.23,15.886,10.577,22.684,28.203,11.959,0.757,5.21,9.036,13.52,9.076,12.843,25.201,15.9,9.365,7.958,2014
ARE,United Arab Emirates,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",10.066,7.946,7.083,1.297,2.433,3.5,5.435,5.498,4.995,2.792,0.604,5.5,4.265,5.273,5.699,4.33,2.976,2.966,1.994,2.1,1.348,2.8,2.918,3.119,5.041,6.195,9.285,11.128,12.251,1.56,0.878,0.875,2014
GBR,United Kingdom,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",16.849,12.189,8.511,5.198,4.448,5.16,3.626,4.066,4.612,5.238,6.973,7.533,4.262,2.507,1.978,2.656,2.481,1.778,1.589,1.335,0.785,1.236,1.256,1.363,1.345,2.05,2.334,2.321,3.613,2.166,3.286,4.484,2014
USA,United States,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",13.502,10.378,6.158,3.16,4.368,3.528,1.944,3.578,4.1,4.791,5.419,4.216,3.042,2.97,2.596,2.805,2.937,2.338,1.547,2.193,3.367,2.817,1.596,2.298,2.668,3.366,3.222,2.871,3.815,-0.32,1.637,3.143,2014
URY,Uruguay,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",63.475,34.046,18.991,49.198,55.305,72.222,76.38,63.567,62.192,80.447,112.526,101.972,68.456,54.081,44.736,42.248,28.342,19.819,10.809,5.661,4.761,4.366,13.967,19.379,9.159,4.7,6.398,8.115,7.877,7.062,6.699,8.093,2014
UZB,Uzbekistan,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,534.18,"1,568.33",304.597,53.961,70.857,28.981,29.103,25.006,27.251,27.291,11.571,6.597,10.044,14.221,12.284,12.747,14.08,9.38,12.809,2012
VUT,Vanuatu,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",11.24,26.846,6.673,1.653,5.516,1.066,4.766,16.039,8.76,7.748,4.759,6.469,4.058,3.566,2.303,2.23,0.926,2.813,2.326,3.229,1.539,4.322,1.682,3.118,1.646,1.079,2.035,3.771,4.176,5.229,2.745,0.744,2014
VEN,Venezuela,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",21.355,16.244,9.607,6.242,12.25,11.382,11.544,28.137,29.468,84.463,40.656,34.205,31.423,38.122,60.817,59.923,99.876,50.04,35.782,23.57,16.206,12.531,22.434,31.091,21.747,15.955,13.654,18.703,30.37,27.081,28.187,26.09,2013
VNM,Vietnam,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",25.156,69.6,95.401,49.487,64.897,91.602,453.538,360.357,374.354,95.77,36.031,81.817,37.705,8.379,9.483,16.926,5.593,3.095,8.11,4.108,-1.768,-0.31,4.079,3.303,7.895,8.394,7.503,8.349,23.115,6.717,9.207,18.678,2013
YEM,Yemen,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,44.913,51.2,61.746,71.277,63.892,38.785,4.635,11.542,7.909,10.964,11.916,12.239,10.831,12.49,9.867,10.845,7.905,18.976,3.675,11.175,19.544,2009
ZMB,Zambia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",11.729,13.997,12.495,19.692,20.019,37.43,54.8,47.028,54.042,128.294,109.558,97.701,165.725,183.263,54.614,34.905,43.095,24.41,24.456,26.79,26.1,21.357,22.239,21.4,17.969,18.325,9.017,10.655,12.449,13.392,8.5,8.658,2013
ZWE,Zimbabwe,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-37.198,-34.445,-8.565,113.569,-31.522,32.974,-72.729,156.964,6.216,3.045,3.47,2013
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"International Monetary Fund, World Economic Outlook Database, April 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
